S/N,MDA'S CODE,MDA, PERSONNEL , OVERHEAD , CAPITAL , TOTAL ALLOCATION 
1,111,PRESIDENCY," ₦200,839,074,546.00 "," ₦53,711,450,216.00 "," ₦100,549,795,959.00 "," ₦355,100,320,721.00 "
2,112,NATIONAL ASSEMBLY," ₦344,852,880,669.00 ",0.00,0.00," ₦344,852,880,669.00 "
3,116,MINISTRY OF DEFENCE," ₦2,392,883,869,930.00 "," ₦297,034,773,462.00 "," ₦464,474,756,899.00 "," ₦3,154,393,400,291.00 "
4,119,"MINISTRY OF FOREIGN
AFFAIRS"," ₦215,652,200,315.00 "," ₦72,247,887,924.00 "," ₦56,135,718,477.00 "," ₦344,035,806,716.00 "
5,123,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION," ₦70,205,023,993.00 "," ₦5,285,850,558.00 "," ₦22,672,347,771.00 "," ₦98,163,222,322.00 "
6,124,MINISTRY OF INTERIOR," ₦591,180,722,746.00 "," ₦70,565,942,515.00 "," ₦34,670,127,338.00 "," ₦696,416,792,599.00 "
7,125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION," ₦7,932,136,476.00 "," ₦9,238,709,290.00 "," ₦9,771,406,131.00 "," ₦26,942,251,897.00 "
8,140,"AUDITOR GENERAL FOR
THE FEDERATION"," ₦5,339,954,629.00 "," ₦5,686,191,179.00 "," ₦4,854,988,680.00 "," ₦15,881,134,488.00 "
9,145,"PUBLIC COMPLAINTS
COMMISSION"," ₦29,460,000,000.00 ",0.00,0.00," ₦29,460,000,000.00 "
10,147,"FEDERAL CIVIL SERVICE
COMMISSION"," ₦1,049,573,548.00 "," ₦1,045,585,105.00 "," ₦509,544,220.00 "," ₦2,604,702,873.00 "
11,148,"INDEPENDENT NATIONAL
ELECTORAL COMMISSION"," ₦1,013,778,401,602.00 ",0.00,0.00," ₦1,013,778,401,602.00 "
12,149,"FEDERAL CHARACTER
COMMISSION"," ₦5,220,293,330.00 "," ₦901,855,024.00 "," ₦409,042,109.00 "," ₦6,531,190,463.00 "
13,155,"FEDERAL MINISTRY OF
POLICE AFFAIRS"," ₦1,189,865,619,348.00 "," ₦79,582,667,096.00 "," ₦60,913,608,673.00 "," ₦1,330,361,895,117.00 "
14,156,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY," ₦32,906,587,903.00 "," ₦1,001,169,799.00 "," ₦50,652,484,687.00 "," ₦84,560,242,389.00 "
15,157,"NATIONAL SECURITY
ADVISER"," ₦245,941,683,329.00 "," ₦131,273,507,858.00 "," ₦286,904,549,354.00 "," ₦664,119,740,541.00 "
16,158,"CODE OF CONDUCT
TRIBUNAL"," ₦1,448,126,868.00 "," ₦499,173,443.00 "," ₦423,926,103.00 "," ₦2,371,226,414.00 "
17,159,"INFRASTRUCTURE
CONCESSION"," ₦1,169,132,877.00 "," ₦863,391,657.00 "," ₦748,400,892.00 "," ₦2,780,925,426.00 "
18,160,"POLICE SERVICE
COMMISSION"," ₦1,489,436,564.00 "," ₦493,322,360.00 "," ₦414,315,906.00 "," ₦2,397,074,830.00 "
19,161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION," ₦131,577,404,233.00 "," ₦47,917,266,116.00 "," ₦113,526,967,297.00 "," ₦293,021,637,646.00 "
20,164,FEDERAL MINISTRY OF SPECIAL DUTIES & INTER-GOVERNMENTAL AFFAIRS," ₦7,039,182,787.00 "," ₦1,916,810,051.00 "," ₦4,825,111,318.00 "," ₦13,781,104,156.00 "
21,215,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY," ₦136,264,346,724.00 "," ₦11,256,793,867.00 "," ₦1,300,452,463,830.00 "," ₦1,447,973,604,421.00 "
22,220,"FEDERAL MINISTRY OF
FINANCE"," ₦54,775,408,304.00 "," ₦15,919,150,538,565.00 "," ₦807,346,551,133.00 "," ₦16,781,272,498,002.00 "
23,222,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"," ₦26,438,444,818.00 "," ₦5,598,604,682.00 "," ₦55,399,199,585.00 "," ₦87,436,249,085.00 "
24,227,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT," ₦28,847,711,401.00 "," ₦4,993,292,158.00 "," ₦149,791,949,431.00 "," ₦183,632,952,990.00 "
25,228,"FEDERAL MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION"," ₦85,080,335,292.00 "," ₦8,336,534,900.00 "," ₦745,257,210,157.00 "," ₦838,674,080,349.00 "
26,229,"FEDERAL MINISTRY OF
TRANSPORT"," ₦31,989,262,336.00 "," ₦2,540,798,201.00 "," ₦397,768,224,488.00 "," ₦432,298,285,025.00 "
27,230,FEDERAL MINISTRY OF AVIATION AND AEROSPACE," ₦14,779,174,252.00 "," ₦2,338,000,548.00 "," ₦70,192,789,683.00 "," ₦87,309,964,483.00 "
28,231,"FEDERAL MINISTRY OF
POWER"," ₦6,168,020,641.00 "," ₦4,211,403,159.00 "," ₦1,096,723,725,158.00 "," ₦1,107,103,148,958.00 "
29,232,"MINISTRY OF PETROLEUM
RESOURCES"," ₦52,228,859,051.00 "," ₦5,839,381,814.00 "," ₦13,529,745,188.00 "," ₦71,597,986,053.00 "
30,233,"FEDERAL MINISTRY OF
STEEL DEVELOPMENT"," ₦12,718,487,788.00 "," ₦1,952,752,773.00 "," ₦6,849,038,708.00 "," ₦21,520,279,269.00 "
